input,build,run,exit_code,classification,signature
id_000059,patched,1,0,CLEAN,""
id_000059,patched,2,0,CLEAN,""
id_000059,patched,3,0,CLEAN,""
id_000059,patched,4,0,CLEAN,""
id_000059,patched,5,0,CLEAN,""
id_000059,vanilla,1,1,ABORT,"assertion failed: "wally_err == WALLY_OK""
id_000059,vanilla,2,1,ABORT,"assertion failed: "wally_err == WALLY_OK""
id_000059,vanilla,3,1,ABORT,"assertion failed: "wally_err == WALLY_OK""
id_000059,vanilla,4,1,ABORT,"assertion failed: "wally_err == WALLY_OK""
id_000059,vanilla,5,1,ABORT,"assertion failed: "wally_err == WALLY_OK""
id_000052,patched,1,0,CLEAN,""
id_000052,patched,2,0,CLEAN,""
id_000052,patched,3,0,CLEAN,""
id_000052,patched,4,0,CLEAN,""
id_000052,patched,5,0,CLEAN,""
id_000052,vanilla,1,1,ABORT,"crash handler: abort"
id_000052,vanilla,2,1,ABORT,"crash handler: abort"
id_000052,vanilla,3,1,ABORT,"crash handler: abort"
id_000052,vanilla,4,1,ABORT,"crash handler: abort"
id_000052,vanilla,5,1,ABORT,"crash handler: abort"
